,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
39,39,UAE,"544,931","+1,321","1,629 ",+3,"525,080","+1,302","18,222",,"54,527",163,"46,815,989","4,684,501","9,993,805 ",Asia,18,"6,135",0,132,0.3,"1,823"
40,40,Lebanon,"534,968",,"7,569 ",,"492,270",,"35,129",333,"78,685","1,113","4,163,257","612,346","6,798,866 ",Asia,13,898,2,,,"5,167"
41,41,Morocco,"514,705",,"9,092 ",,"502,604",,"3,009",94,"13,803",244,"6,370,615","170,844","37,289,158 ",Africa,72,"4,101",6,,,81
42,42,Malaysia,"466,330","+4,140","1,866 ",+44,"422,329","+3,432","42,135",503,"14,250",57,"10,445,009","319,178","32,724,742 ",Asia,70,"17,537",3,127,1,"1,288"
43,43,Nepal,"447,704","+8,046","4,856 ",+187,"333,108","+5,455","109,740",,"15,131",164,"2,751,481","92,989","29,589,353 ",Asia,66,"6,093",11,272,6,"3,709"
44,44,Saudi Arabia,"432,269",+837,"7,147 ",+13,"416,759","+1,012","8,363","1,331","12,252",203,"17,916,457","507,801","35,282,461 ",Asia,82,"4,937",2,24,0.4,237
45,45,Bulgaria,"413,838",,"17,243 ",,"361,993",,"34,602",504,"59,951","2,498","2,656,622","384,855","6,902,925 ",Europe,17,400,3,,,"5,013"
46,46,Ecuador,"407,002",,"19,514 ",,"342,878",,"44,610",572,"22,770","1,092","1,359,491","76,057","17,874,632 ",South America,44,916,13,,,"2,496"
47,47,Slovakia,"387,420",+258,"12,203 ",+35,"370,552",+476,"4,665",204,"70,931","2,234","2,759,676","505,256","5,461,938 ",Europe,14,448,2,47,6,854
48,48,Greece,"375,831","+1,950","11,365 ",+43,"335,156",,"29,310",661,"36,211","1,095","8,832,737","851,038","10,378,778 ",Europe,28,913,1,188,4,"2,824"
49,49,Belarus,"374,714","+1,363","2,691 ",+10,"365,255","+1,382","6,768",,"39,666",285,"6,070,189","642,578","9,446,623 ",Europe,25,"3,510",2,144,1,716
50,50,Panama,"370,043",,"6,292 ",,"358,670",,"5,081",105,"84,611","1,439","2,507,280","573,293","4,373,467 ",North America,12,695,2,,,"1,162"
51,51,Kazakhstan,"355,645","+2,505","4,039 ",+22,"312,837","+2,669","38,769",221,"18,747",213,"10,749,824","566,643","18,971,060 ",Asia,53,"4,697",2,132,1,"2,044"
52,52,Croatia,"349,910",+826,"7,687 ",+23,"335,337","+1,131","6,886",185,"85,694","1,883","1,920,316","470,292","4,083,243 ",Europe,12,531,2,202,6,"1,686"
53,53,Bolivia,"329,733","+2,509","13,451 ",+42,"269,288","+1,315","46,994",200,"27,918","1,139","1,299,971","110,067","11,810,731 ",South America,36,878,9,212,4,"3,979"
54,54,Georgia,"329,407","+1,576","4,426 ",+29,"307,918",+584,"17,063",,"82,713","1,111","4,555,909","1,143,978","3,982,513 ",Asia,12,900,1,396,7,"4,284"
55,55,Azerbaijan,"329,371",+377,"4,768 ",+14,"313,778","+1,318","10,825",,"32,233",467,"3,375,679","330,355","10,218,336 ",Asia,31,"2,143",3,37,1,"1,059"
56,56,Tunisia,"325,280",,"11,727 ",,"286,230",,"27,323",445,"27,276",983,"1,380,132","115,728","11,925,686 ",Africa,37,"1,017",9,,,"2,291"
57,57,Paraguay,"309,638",,"7,482 ",,"256,345",,"45,811",590,"42,955","1,038","1,182,111","163,992","7,208,345 ",South America,23,963,6,,,"6,355"
58,58,Palestine,"303,270",,"3,401 ",,"288,891",,"10,978",78,"58,281",654,"1,784,690","342,970","5,203,627 ",Asia,17,"1,530",3,,,"2,110"
59,59,Kuwait,"290,006",,"1,681 ",,"275,745",,"12,580",190,"67,051",389,"2,446,116","565,554","4,325,171 ",Asia,15,"2,573",2,,,"2,909"
60,60,Costa Rica,"282,741",,"3,547 ",,"221,903",,"57,291",489,"55,068",691,"1,093,074","212,892","5,134,409 ",North America,18,"1,448",5,,,"11,158"
61,61,Dominican Republic,"275,378",,"3,565 ",,"232,925",,"38,888",275,"25,167",326,"1,468,228","134,181","10,942,105 ",North America,40,"3,069",7,,,"3,554"
62,62,Denmark,"265,539","+1,074","2,502 ",+3,"250,257",+770,"12,780",33,"45,705",431,"46,271,866","7,964,314","5,809,900 ",Europe,22,"2,322",0,185,0.5,"2,200"
63,63,Ethiopia,"265,413",,"3,964 ",,"217,370",,"44,079",620,"2,260",34,"2,644,565","22,523","117,416,656 ",Africa,442,"29,621",44,,,375
64,64,Lithuania,"264,724","+1,141","4,088 ",+2,"239,702","+2,271","20,934",169,"98,440","1,520","3,093,727","1,150,435","2,689,180 ",Europe,10,658,1,424,0.7,"7,785"
65,65,Ireland,"254,870",,"4,941 ",,"237,164",,"12,765",39,"51,122",991,"4,729,538","948,653","4,985,528 ",Europe,20,"1,009",1,,,"2,560"
66,66,Moldova,"253,736",+169,"6,016 ",+10,"244,664",+177,"3,056",148,"63,027","1,494","1,045,418","259,679","4,025,815 ",Europe,16,669,4,42,2,759
67,67,Slovenia,"249,014",+494,"4,320 ",+6,"237,061","+1,012","7,633",121,"119,765","2,078","1,228,272","590,747","2,079,186 ",Europe,8,481,2,238,3,"3,671"
68,68,Egypt,"243,317",,"14,206 ",,"179,817",,"49,294",90,"2,340",137,"2,715,258","26,108","104,000,632 ",Africa,427,"7,321",38,,,474
69,69,Guatemala,"240,170",,"7,845 ",,"219,456",,"12,869",5,"13,195",431,"1,336,353","73,419","18,201,700 ",North America,76,"2,320",14,,,707
70,70,Uruguay,"235,206",,"3,369 ",,"204,051",,"27,786",515,"67,507",967,"1,980,797","568,512","3,484,175 ",South America,15,"1,034",2,,,"7,975"
71,71,Honduras,"225,256","+1,334","5,937 ",+39,"82,549",+362,"136,770",536,"22,434",591,"673,368","67,064","10,040,740 ",North America,45,"1,691",15,133,4,"13,622"
72,72,Armenia,"220,729",+282,"4,314 ",+13,"208,100",+636,"8,315",,"74,368","1,453","1,033,513","348,213","2,968,051 ",Asia,13,688,3,95,4,"2,802"
73,73,Venezuela,"212,998",,"2,366 ",,"196,759",,"13,873",316,"7,509",83,"3,359,014","118,417","28,365,910 ",South America,133,"11,989",8,,,489
74,74,Qatar,"212,927",+260,526 ,+2,"206,307",+557,"6,094",208,"75,834",187,"1,967,354","700,673","2,807,805 ",Asia,13,"5,338",1,93,0.7,"2,170"
75,75,Oman,"202,713",,"2,148 ",,"186,391",,"14,174",255,"38,845",412,"1,550,000","297,022","5,218,477 ",Asia,26,"2,429",3,,,"2,716"
76,76,Bosnia and Herzegovina,"202,143",,"8,981 ",,"168,549",,"24,613",,"61,949","2,752","937,964","287,449","3,263,066 ",Europe,16,363,3,,,"7,543"
77,77,Bahrain,"197,474",,732 ,,"181,237",,"15,505",163,"112,692",418,"4,322,199","2,466,533","1,752,338 ",Asia,9,"2,394",0,,,"8,848"
78,78,Libya,"181,179",,"3,085 ",,"167,629",,"10,465",,"26,061",444,"981,532","141,185","6,952,103 ",Africa,38,"2,254",7,,,"1,505"
79,79,Nigeria,"165,661",,"2,066 ",,"156,399",,"7,196",11,787,10,"1,977,479","9,392","210,540,789 ",Africa,"1,271","101,907",106,,,34
80,80,Kenya,"165,379",+267,"3,001 ",+25,"113,489",+57,"48,889",117,"3,018",55,"1,741,604","31,785","54,792,624 ",Africa,331,"18,258",31,5,0.5,892
81,81,North Macedonia,"154,636",+112,"5,197 ",+13,"145,606","+2,179","3,833",111,"74,226","2,495","753,923","361,889","2,083,300 ",Europe,13,401,3,54,6,"1,840"
82,82,Myanmar,"143,059",+24,"3,212 ",,"132,100",+28,"7,747",,"2,614",59,"2,600,857","47,525","54,725,973 ",Asia,383,"17,038",21,0.4,,142
83,83,Sri Lanka,"138,085",,921 ,,"110,108",,"27,056",,"6,425",43,"3,075,321","143,097","21,491,133 ",Asia,156,"23,335",7,,,"1,259"
84,84,Albania,"131,939",,"2,427 ",,"122,105",,"7,407",18,"45,891",844,"669,140","232,739","2,875,067 ",Europe,22,"1,185",4,,,"2,576"
85,85,S. Korea,"131,061",+681,"1,896 ",+3,"121,282",+887,"7,883",150,"2,554",37,"9,319,094","181,632","51,307,497 ",Asia,391,"27,061",6,13,0.06,154
86,86,Latvia,"127,597",+544,"2,257 ",+9,"116,427",+757,"8,913",78,"68,306","1,208","2,484,916","1,330,231","1,868,034 ",Europe,15,828,1,291,5,"4,771"
87,87,Estonia,"126,922",+281,"1,220 ",+3,"118,553",+545,"7,149",36,"95,623",919,"1,356,381","1,021,902","1,327,310 ",Europe,10,"1,088",1,212,2,"5,386"
88,88,Algeria,"125,059",,"3,360 ",,"87,137",,"34,562",28,"2,808",75,"230,861","5,184","44,534,813 ",Africa,356,"13,254",193,,,776
89,89,Cuba,"123,221","+1,383",796 ,+11,"115,505",+961,"6,920",126,"10,885",70,"3,970,083","350,695","11,320,611 ",North America,92,"14,222",3,122,1.0,611
90,90,Norway,"118,927",+187,774 ,,"88,952",,"29,201",24,"21,790",142,"5,423,294","993,646","5,457,973 ",Europe,46,"7,052",1,34,,"5,350"
91,91,Kyrgyzstan,"100,249",+404,"1,695 ",+8,"93,302",+349,"5,252",85,"15,150",256,"1,051,972","158,976","6,617,195 ",Asia,66,"3,904",6,61,1,794
92,92,Thailand,"99,145","+3,095",565 ,+17,"63,667","+1,351","34,913","1,234","1,417",8,"8,124,896","116,150","69,951,988 ",Asia,706,"123,809",9,44,0.2,499
93,93,Montenegro,"98,778",+75,"1,560 ",+4,"95,801",+125,"1,417",60,"157,256","2,484","393,555","626,545","628,135 ",Europe,6,403,2,119,6,"2,256"
94,94,Uzbekistan,"96,368",+251,667 ,,"91,831",+324,"3,870",23,"2,844",20,"1,377,915","40,660","33,888,586 ",Asia,352,"50,807",25,7,,114
95,95,Ghana,"93,243",,783 ,,"91,146",,"1,314",7,"2,948",25,"1,118,523","35,360","31,632,469 ",Africa,339,"40,399",28,,,42
96,96,Zambia,"92,409",+53,"1,260 ",,"90,777",+78,372,39,"4,908",67,"1,468,388","77,994","18,826,944 ",Africa,204,"14,942",13,3,,20
97,97,Finland,"89,878",+192,931 ,,"46,000",,"42,947",28,"16,200",168,"4,760,359","858,002","5,548,192 ",Europe,62,"5,959",1,35,,"7,741"
98,98,Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297",385,"2,764",42,"1,518,411","55,999","27,115,061 ",Africa,362,"23,537",18,,,122
99,99,El Salvador,"70,915",,"2,182 ",+4,"66,418",,"2,315",28,"10,886",335,"946,627","145,309","6,514,588 ",North America,92,"2,986",7,,0.6,355
100,100,Cyprus,"70,742",,346 ,,"39,061",,"31,335",51,"58,225",285,"5,733,920","4,719,369","1,214,976 ",Asia,17,"3,511",0,,,"25,791"
101,101,Mozambique,"70,361",,826 ,,"68,487",,"1,048",24,"2,198",26,"534,044","16,684","32,008,868 ",Africa,455,"38,752",60,,,33
102,102,Luxembourg,"68,922",,806 ,,"66,183",,"1,933",30,"108,577","1,270","2,760,597","4,348,917","634,778 ",Europe,9,788,0,,,"3,045"
103,103,Afghanistan,"63,484",+72,"2,742 ",+9,"54,663",+29,"6,079","1,124","1,600",69,"429,452","10,822","39,684,190 ",Asia,625,"14,473",92,2,0.2,153
104,104,Singapore,"61,536",+31,31 ,,"61,047",,458,3,"10,447",5,"10,441,802","1,772,738","5,890,210 ",Asia,96,"190,007",1,5,,78
105,105,Namibia,"50,949",+216,705 ,+1,"47,946",+170,"2,298",71,"19,743",273,"407,101","157,752","2,580,640 ",Africa,51,"3,660",6,84,0.4,890
106,106,Botswana,"49,656",,761 ,,"46,640",,"2,255",1,"20,754",318,"1,089,391","455,317","2,392,597 ",Africa,48,"3,144",2,,,942
107,107,Mongolia,"48,101",+553,205 ,+5,"39,564","+1,234","8,332",106,"14,471",62,"2,822,456","849,138","3,323,909 ",Asia,69,"16,214",1,166,2,"2,507"
108,108,Jamaica,"47,150",,838 ,,"22,895",,"23,417",18,"15,863",282,"351,564","118,277","2,972,378 ",North America,63,"3,547",8,,,"7,878"
109,109,Ivory Coast,"46,535",,295 ,,"46,006",,234,,"1,727",11,"608,960","22,603","26,940,965 ",Africa,579,"91,325",44,,,9
110,110,Maldives,"42,775",,94 ,+2,"27,672",,"15,009",90,"77,948",171,"788,171","1,436,261","548,766 ",Asia,13,"5,838",1,,4,"27,350"
111,111,Uganda,"42,674",,347 ,,"41,971",,356,24,908,7,"1,055,305","22,462","46,982,269 ",Africa,"1,101","135,396",45,,,8
112,112,Senegal,"40,828",+22,"1,124 ",+2,"39,558",+29,146,10,"2,384",66,"496,463","28,993","17,123,805 ",Africa,419,"15,235",34,1,0.1,9
113,113,Madagascar,"40,005",+117,754 ,+6,"37,673",+242,"1,578",309,"1,413",27,"194,669","6,878","28,304,042 ",Africa,708,"37,539",145,4,0.2,56
114,114,Zimbabwe,"38,535",,"1,582 ",,"36,308",,645,12,"2,560",105,"443,025","29,437","15,049,987 ",Africa,391,"9,513",34,,,43
115,115,Sudan,"34,272",,"2,446 ",,"27,949",,"3,877",,766,55,"232,965","5,208","44,731,659 ",Africa,"1,305","18,288",192,,,87
116,116,Malawi,"34,200",,"1,153 ",,"32,176",,871,11,"1,749",59,"238,017","12,171","19,555,612 ",Africa,572,"16,961",82,,,45
117,117,DRC,"30,546",+35,776 ,+1,"26,603",+2,"3,167",,332,8,"155,250","1,689","91,902,095 ",Africa,"3,009","118,431",592,0.4,0.01,34
118,118,Malta,"30,478",+4,417 ,,"29,884",+7,177,,"68,867",942,"894,803","2,021,861","442,564 ",Europe,15,"1,061",0,9,,400
119,119,Angola,"30,030",,651 ,,"25,650",,"3,729",22,890,19,"527,590","15,635","33,744,917 ",Africa,"1,124","51,836",64,,,111
120,120,Australia,"29,962",+5,910 ,,"28,886",,166,1,"1,163",35,"17,465,839","678,129","25,755,941 ",Australia/Oceania,860,"28,303",1,0.2,,6
121,121,Cabo Verde,"27,672",,244 ,,"24,546",,"2,882",23,"49,307",435,"158,645","282,681","561,215 ",Africa,20,"2,300",4,,,"5,135"
122,122,Rwanda,"26,033",,343 ,,"24,592",,"1,098",1,"1,968",26,"1,362,483","102,994","13,228,796 ",Africa,508,"38,568",10,,,83
123,123,Gabon,"23,799",,143 ,,"20,379",,"3,277",15,"10,480",63,"767,445","337,934","2,270,994 ",Africa,95,"15,881",3,,,"1,443"
124,124,Syria,"23,645",,"1,688 ",,"20,197",,"1,760",,"1,323",94,"103,566","5,797","17,866,944 ",Asia,756,"10,585",173,,,99
125,125,Guinea,"22,746",,151 ,,"20,366",,"2,229",24,"1,692",11,"445,243","33,130","13,439,391 ",Africa,591,"89,003",30,,,166
126,126,Réunion,"22,644",,169 ,,"21,603",,872,36,"25,136",188,"102,720","114,026","900,850 ",Africa,40,"5,330",9,,,968
127,127,Cambodia,"21,834",+335,147 ,,"10,740",+873,"10,947",,"1,290",9,"1,036,373","61,255","16,919,063 ",Asia,775,"115,096",16,20,,647
128,128,French Guiana,"21,465",,108 ,,"9,995",,"11,362",28,"70,297",354,"234,758","768,821","305,348 ",South America,14,"2,827",1,,,"37,210"
129,129,Mayotte,"20,176",,171 ,,"2,964",,"17,041",6,"72,449",614,"176,919","635,286","278,487 ",Africa,14,"1,629",2,,,"61,191"
130,130,French Polynesia,"18,815",,141 ,,"18,650",,24,1,"66,645",499,"26,355","93,353","282,316 ",Australia/Oceania,15,"2,002",11,,,85
131,131,Mauritania,"18,781",,457 ,,"18,024",,300,14,"3,950",96,"248,008","52,159","4,754,881 ",Africa,253,"10,405",19,,,63
132,132,Eswatini,"18,511",,671 ,,"17,793",,47,3,"15,814",573,"197,154","168,427","1,170,564 ",Africa,63,"1,745",6,,,40
133,133,Guadeloupe,"16,017",,221 ,,"2,242",,"13,554",33,"40,024",552,"195,404","488,287","400,183 ",North America,25,"1,811",2,,,"33,870"
134,134,Trinidad and Tobago,"15,379",,265 ,,"9,900",,"5,214",15,"10,958",189,"151,103","107,668","1,403,420 ",North America,91,"5,296",9,,,"3,715"
135,135,Guyana,"14,988",,335 ,,"12,834",,"1,819",14,"18,976",424,"135,059","170,995","789,844 ",South America,53,"2,358",6,,,"2,303"
136,136,Somalia,"14,486",,753 ,,"6,325",,"7,408",,890,46,"120,132","7,381","16,274,750 ",Africa,"1,123","21,613",135,,,455
137,137,Mali,"14,163",,510 ,,"9,157",,"4,496",,682,25,"281,392","13,559","20,752,550 ",Africa,"1,465","40,691",74,,,217
138,138,Papua New Guinea,"13,707",,136 ,,"11,034",,"2,537",,"1,507",15,"110,286","12,128","9,093,328 ",Australia/Oceania,663,"66,863",82,,,279
139,139,Andorra,"13,510",,127 ,,"13,155",,228,12,"174,611","1,641","193,595","2,502,133","77,372 ",Europe,6,609,0,,,"2,947"
140,140,Burkina Faso,"13,394",,164 ,,"13,194",,36,,626,8,"183,292","8,566","21,396,554 ",Africa,"1,597","130,467",117,,,2
141,141,Haiti,"13,353",,271 ,,"12,414",,668,,"1,159",24,"60,085","5,214","11,522,804 ",North America,863,"42,520",192,,,58
142,143,Togo,"13,244",,125 ,,"11,847",,"1,272",,"1,568",15,"321,577","38,075","8,445,949 ",Africa,638,"67,568",26,,,151
143,144,Belize,"12,714",,323 ,,"12,337",,54,1,"31,481",800,"124,603","308,529","403,861 ",North America,32,"1,250",3,,,134
144,145,Curaçao,"12,246",,119 ,,"12,059",,68,18,"74,365",723,"103,024","625,620","164,675 ",North America,13,"1,384",2,,,413
145,146,Hong Kong,"11,822",+3,210 ,,"11,522",+6,90,2,"1,566",28,"14,841,321","1,965,821","7,549,680 ",Asia,639,"35,951",1,0.4,,12
146,147,Martinique,"11,736",,90 ,,98,,"11,548",24,"31,295",240,"170,302","454,124","375,012 ",North America,32,"4,167",2,,,"30,794"
147,148,Suriname,"11,707",,223 ,,"10,112",,"1,372",29,"19,803",377,"55,126","93,247","591,185 ",South America,50,"2,651",11,,,"2,321"
148,149,Djibouti,"11,402",,151 ,,"11,241",,10,,"11,397",151,"153,192","153,127","1,000,422 ",Africa,88,"6,625",7,,,10
149,150,Congo,"11,343",,148 ,,"8,208",,"2,987",,"2,013",26,"141,948","25,190","5,635,095 ",Africa,497,"38,075",40,,,530
150,151,Bahamas,"11,024",,216 ,,"9,967",,841,5,"27,803",545,"91,550","230,896","396,498 ",North America,36,"1,836",4,,,"2,121"
151,152,Aruba,"10,838",,104 ,,"10,639",,95,14,"101,139",971,"156,663","1,461,968","107,159 ",North America,10,"1,030",1,,,887
152,153,Lesotho,"10,782",+4,320 ,,"6,427",,"4,035",,"4,999",148,"87,254","40,452","2,156,964 ",Africa,200,"6,741",25,2,,"1,871"
153,154,South Sudan,"10,651",,115 ,,"10,462",,74,,942,10,"158,678","14,033","11,307,299 ",Africa,"1,062","98,324",71,,,7
154,155,Seychelles,"9,184",,32 ,,"6,413",,"2,739",,"92,885",324,"21,504","217,487","98,875 ",Africa,11,"3,090",5,,,"27,702"
155,156,Benin,"7,995",,101 ,,"7,652",,242,35,645,8,"595,112","48,006","12,396,596 ",Africa,"1,551","122,739",21,,,20
156,157,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,334",78,"123,169","85,381","1,442,573 ",Africa,187,"12,880",12,,,210
157,158,Nicaragua,"7,086",,184 ,,"4,225",,"2,677",,"1,059",27,,,"6,692,758 ",North America,945,"36,374",,,,400
158,159,CAR,"6,866",,95 ,,"5,112",,"1,659",2,"1,401",19,"40,907","8,344","4,902,297 ",Africa,714,"51,603",120,,,338
159,160,Iceland,"6,537",,29 ,,"6,445",,63,3,"19,049",85,"622,370","1,813,628","343,163 ",Europe,52,"11,833",1,,,184
160,161,Yemen,"6,523",,"1,285 ",,"3,008",,"2,230",23,215,42,"35,043","1,153","30,392,400 ",Asia,"4,659","23,652",867,,,73
161,162,Gambia,"5,940",,175 ,,"5,674",,91,3,"2,400",71,"76,379","30,859","2,475,082 ",Africa,417,"14,143",32,,,37
162,163,Niger,"5,326",,192 ,,"4,936",,198,2,213,8,"101,658","4,073","24,958,286 ",Africa,"4,686","129,991",246,,,8
163,164,San Marino,"5,083",,90 ,,"4,968",,25,4,"149,531","2,648","63,241","1,860,412","33,993 ",Europe,7,378,1,,,735
