,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
66,66,Moldova,"253,954",,"6,034 ",,"245,031",,"2,889",148,"63,083","1,499","1,050,325","260,902","4,025,739 ",Europe,16,667,4,,,718
67,67,Slovenia,"249,921",+497,"4,333 ",+6,"238,517",+887,"7,071",113,"120,201","2,084","1,236,479","594,693","2,079,189 ",Europe,8,480,2,239,3,"3,401"
68,68,Egypt,"246,909",,"14,388 ",,"182,024",,"50,497",90,"2,374",138,"2,715,258","26,104","104,016,476 ",Africa,421,"7,229",38,,,485
69,69,Uruguay,"242,906",,"3,521 ",,"212,051",,"27,334",495,"69,715","1,011","2,016,365","578,704","3,484,274 ",South America,14,990,2,,,"7,845"
70,70,Guatemala,"242,784","+1,256","7,913 ",+20,"223,244","+1,195","11,627",5,"13,337",435,"1,353,442","74,347","18,204,421 ",North America,75,"2,301",13,69,1,639
71,71,Honduras,"227,516",+797,"5,970 ",+10,"82,920",+318,"138,626",536,"22,656",595,"681,751","67,890","10,042,033 ",North America,44,"1,682",15,79,1.0,"13,805"
72,72,Armenia,"221,139",+212,"4,346 ",+13,"209,222",+323,"7,571",,"74,505","1,464","1,042,821","351,343","2,968,096 ",Asia,13,683,3,71,4,"2,551"
73,73,Venezuela,"216,415",,"2,411 ",,"200,381",,"13,623",316,"7,630",85,"3,359,014","118,420","28,365,252 ",South America,131,"11,765",8,,,480
74,74,Qatar,"213,855",+370,536 ,+4,"208,614",+818,"4,705",179,"76,164",191,"1,977,199","704,180","2,807,805 ",Asia,13,"5,238",1,132,1,"1,676"
75,75,Oman,"207,109",+812,"2,219 ",+13,"191,539",+474,"13,351",244,"39,680",425,"1,550,000","296,961","5,219,545 ",Asia,25,"2,352",3,156,2,"2,558"
76,76,Bosnia and Herzegovina,"202,675",+185,"9,070 ",+19,"170,256",+801,"23,349",,"62,115","2,780","949,432","290,978","3,262,899 ",Europe,16,360,3,57,6,"7,156"
77,77,Bahrain,"202,556",,752 ,,"185,619",,"16,185",180,"115,560",429,"4,374,017","2,495,410","1,752,825 ",Asia,9,"2,331",0,,,"9,234"
78,78,Libya,"182,012",+298,"3,097 ",+5,"168,785",+407,"10,130",,"26,178",445,"989,906","142,374","6,952,869 ",Africa,38,"2,245",7,43,0.7,"1,457"
79,79,Kenya,"166,006",+469,"3,021 ",+8,"113,917",+43,"49,068",108,"3,029",55,"1,752,693","31,982","54,802,355 ",Africa,330,"18,140",31,9,0.1,895
80,80,Nigeria,"165,778",,"2,067 ",,"156,415",,"7,296",11,787,10,"2,002,653","9,510","210,582,794 ",Africa,"1,270","101,878",105,,,35
81,81,North Macedonia,"154,804",+79,"5,232 ",+2,"146,302",+259,"3,270",111,"74,307","2,511","760,498","365,045","2,083,299 ",Europe,13,398,3,38,1.0,"1,570"
82,82,Sri Lanka,"146,936","+1,734",981 ,,"121,145","+1,516","24,810",,"6,837",46,"3,075,321","143,092","21,491,868 ",Asia,146,"21,908",7,81,,"1,154"
