,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
173,Comoros,3860,0,146,0,3688,26,0,4359,165,0,0,885426,Africa
174,Eritrea,3818,64,12,0,3627,179,0,1064,3,23693,6603,3588465,Europe
175,Guinea-Bissau,3741,0,67,0,3400,274,9,1863,33,64758,32255,2007704,Asia
176,Vietnam,3537,76,35,0,2618,884,0,36,4,2958119,30157,98090024,Australia/Oceania
177,Timor-Leste,3493,140,5,0,1769,1719,0,2607,4,84361,62960,1339916,Europe
178,Liechtenstein,2975,1,58,0,2887,30,3,77835,1517,39109,1023207,38222,North America
179,New Zealand,2643,0,26,0,2591,26,0,528,5,2059727,411772,5002100,Africa
180,Monaco,2486,5,32,0,2423,31,1,62967,811,51953,1315899,39481,North America
181,Bermuda,2455,4,31,0,2182,242,14,39546,499,250225,4030686,62080,North America
182,Turks and Caicos,2404,2,17,0,2365,22,2,61380,434,65926,1683246,39166,Africa
183,Sao Tome and Principe,2320,2,35,0,2269,16,0,10420,157,12999,58386,222639,North America
184,Sint Maarten,2268,5,27,0,2208,33,2,52387,624,26880,620886,43293,North America
185,Liberia,2114,0,85,0,1962,67,2,410,16,97875,18971,5159153,Europe
186,St. Vincent Grenadines,1922,0,12,0,1741,169,2,17277,108,46355,416700,111243,North America
187,Saint Martin,1773,0,12,0,1399,362,7,45195,306,27588,703237,39230,Asia
188,Isle of Man,1590,0,29,0,1550,11,1,18614,339,44761,524011,85420,North America
189,Caribbean Netherlands,1583,1,17,0,1548,18,0,59890,643,10040,379843,26432,Africa
190,Laos,1362,35,1,0,297,1064,0,185,1,203045,27565,7365974,Asia
191,Mauritius,1256,0,17,0,1125,114,0,986,13,358675,281627,1273583,Asia
192,Bhutan,1247,6,1,0,1101,145,0,1601,1,731572,939246,778893,North America
193,Antigua and Barbuda,1238,1,32,0,1178,28,4,12553,324,16700,169328,98625,Europe
194,Taiwan,1210,11,12,0,1093,105,0,51,5,571259,23948,23853843,North America
195,St. Barth,974,0,1,0,462,511,0,98354,101,26385,2664344,9903,Africa
196,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,Australia/Oceania
197,Faeroe Islands,669,1,1,0,662,6,0,13647,20,257843,5259633,49023,Asia
198,Cayman Islands,548,0,2,0,537,9,0,8255,30,91940,1384972,66384,North America
199,Tanzania,509,0,21,0,183,305,7,8,3,0,0,61183891,North America
200,Wallis and Futuna,445,0,7,0,44,394,1,40202,632,17264,1559671,11069,North America
201,Brunei,230,0,3,0,218,9,0,521,7,122292,277261,441072,Australia/Oceania
202,British Virgin Islands,219,0,1,0,193,25,0,7203,33,39777,1308282,30404,Asia
203,Dominica,175,0,0,0,175,0,0,2426,0,15546,215498,72140,Australia/Oceania
204,Grenada,160,0,1,0,158,1,0,1416,9,26331,233078,112971,South America
205,Fiji,152,12,3,0,101,48,0,169,3,66605,73840,902022,Asia
206,New Caledonia,124,0,0,0,58,66,0,431,0,31166,108271,287852,North America
207,Anguilla,109,10,0,0,89,20,0,7210,0,21630,1430745,15118,Europe
208,Falkland Islands,63,0,0,0,63,0,0,17667,0,7258,2035334,3566,North America
209,Macao,49,0,0,0,49,0,0,75,0,4483,6824,656918,Australia/Oceania
210,Saint Kitts and Nevis,45,0,0,0,44,1,0,841,0,13691,255801,53522,Africa
211,Greenland,31,0,0,0,31,0,0,545,0,20669,363539,56855,Australia/Oceania
212,Vatican City,27,0,0,0,15,12,0,33624,0,0,0,803,Australia/Oceania
213,Saint Pierre Miquelon,25,0,0,0,25,0,0,4333,0,5318,921664,5770,Asia
214,Montserrat,20,0,1,0,19,0,0,4004,200,1313,262863,4995,Asia
215,Solomon Islands,20,0,0,0,20,0,0,29,0,4500,6417,701257,Ship
216,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,609870,North America
217,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,Ship
218,Vanuatu,4,0,1,0,3,0,0,13,3,23000,73419,313272,North America
219,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59533,North America
220,Samoa,3,0,0,0,2,1,0,15,0,0,0,199546,Australia/Oceania
221,Saint Helena,2,0,0,0,2,0,0,328,0,0,0,6093,Australia/Oceania
222,Micronesia,1,0,0,0,1,0,0,9,0,0,0,116057,Ship
