,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
69,Uruguay,246026,3120,3578,57,214578,27870,498,70609,1027,2030566,582769,3484339,North America
70,Guatemala,242784,1256,7913,20,223244,11627,5,13335,435,1353442,74339,18206234,Asia
71,Honduras,227516,797,5970,10,82920,138626,536,22654,594,681751,67884,10042894,North America
72,Armenia,221139,212,4346,13,209222,7571,0,74505,1464,1042821,351340,2968126,Asia
73,Venezuela,217603,1188,2428,17,201646,13529,316,7672,86,3359014,118422,28364814,Europe
74,Qatar,213855,370,536,4,208614,4705,179,76164,191,1977199,704180,2807805,South America
75,Oman,207109,812,2219,13,191539,13351,244,39674,425,1550000,296920,5220257,Asia
76,Bahrain,204524,1968,765,13,186961,16798,187,116661,436,4393681,2506164,1753150,Africa
77,Bosnia and Herzegovina,202675,185,9070,19,170256,23349,0,62117,2780,949432,290988,3262788,South America
78,Libya,182012,298,3097,5,168785,10130,0,26176,445,989906,142363,6953379,Asia
79,Kenya,166006,469,3021,8,113917,49068,108,3029,55,1752693,31978,54808842,Africa
80,Nigeria,165809,31,2067,0,156420,7322,11,787,10,2002653,9509,210610797,Africa
81,North Macedonia,154804,79,5232,2,146302,3270,111,74307,2511,760498,365045,2083299,Europe
82,Sri Lanka,147720,2518,1015,34,121145,25560,0,6873,47,3075321,143089,21492357,Asia
83,Myanmar,143131,34,3213,0,132135,7783,0,2615,59,2604997,47596,54730948,Europe
84,S. Korea,132818,528,1904,1,122631,8283,156,2589,37,9395004,183110,51308098,Africa
85,Albania,132071,39,2436,1,126405,3230,18,45937,847,680210,236593,2875024,Europe
86,Latvia,128688,563,2280,11,117799,8609,71,68900,1221,2513111,1345528,1867751,Asia
87,Estonia,127500,295,1229,6,119428,6843,32,96058,926,1368541,1031054,1327322,Europe
88,Cuba,126755,1244,826,12,119161,6768,130,11197,73,4037878,356687,11320516,Europe
89,Algeria,125693,208,3388,7,87609,34696,28,2822,76,230861,5183,44545644,Asia
90,Norway,119814,314,774,0,88952,30088,22,21950,142,5507549,1008976,5458551,North America
91,Thailand,113555,2473,649,35,69918,42988,1228,1623,9,8124896,116146,69954374,Europe
92,Kyrgyzstan,100966,234,1718,7,94168,5080,86,15255,260,1065529,160988,6618667,Asia
93,Montenegro,98971,73,1564,2,96097,1310,60,157563,2490,397322,632541,628136,Africa
94,Uzbekistan,97068,175,672,2,92582,3814,23,2864,20,1377915,40652,33895215,Africa
95,Ghana,93390,57,783,0,91299,1308,8,2952,25,1123985,35523,31641347,Asia
96,Zambia,92520,60,1263,2,90892,365,40,4912,67,1479497,78555,18834005,Europe
97,China,90894,22,4636,0,85963,295,2,63,3,160000000,111163,1439323776,Africa
98,Finland,90398,149,929,0,46000,43469,25,16293,167,4794557,864147,5548310,North America
99,Cameroon,77429,2483,1189,37,70497,5743,385,2855,44,1518411,55980,27124116,Europe
100,El Salvador,71479,0,2195,4,66903,2381,22,10971,337,956458,146808,6515034,Africa
101,Cyprus,71398,167,348,1,39061,31989,49,58759,286,5988958,4928794,1215096,Asia
102,Mozambique,70485,22,828,0,68749,908,21,2201,26,538679,16823,32020877,Asia
103,Luxembourg,69239,174,808,0,66619,1812,30,109052,1273,2787646,4390568,634917,Asia
104,Afghanistan,64122,303,2762,11,55118,6242,1124,1615,70,434506,10946,39696196,Africa
105,Singapore,61651,38,31,0,61134,486,5,10466,5,11064019,1878174,5890838,Asia
106,Namibia,51636,246,733,10,48445,2458,56,20004,284,413177,160067,2581269,Africa
107,Botswana,50800,0,774,0,47477,2549,1,21226,323,1105082,461750,2393247,Africa
108,Mongolia,49524,349,221,7,42721,6582,103,14896,66,2840929,854510,3324631,North America
109,Jamaica,47479,83,878,15,23410,23191,18,15972,295,357002,120099,2972554,Africa
110,Maldives,47421,1465,105,4,29086,18230,90,86393,191,802394,1461830,548897,Africa
111,Ivory Coast,46708,47,298,0,46176,234,0,1733,11,619741,22996,26949915,Africa
112,Uganda,42930,71,349,2,42429,152,24,913,7,1064201,22642,47002099,Africa
