,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
132,Mauritania,18781,14,457,0,18024,300,14,3950,96,248008,52159,4754881,Africa
133,Eswatini,18511,14,671,0,17793,47,3,15814,573,197154,168427,1170564,Africa
134,Guadeloupe,16017,0,221,0,2242,13554,33,40024,552,195404,488287,400183,Africa
135,Trinidad and Tobago,15379,565,265,9,9900,5214,15,10958,189,151103,107668,1403420,North America
136,Guyana,14988,143,335,2,12834,1819,14,18976,424,135059,170995,789844,Europe
137,Somalia,14486,0,753,0,6325,7408,0,890,46,120132,7381,16274750,North America
138,Mali,14163,14,510,2,9157,4496,0,682,25,281392,13559,20752550,Africa
139,Papua New Guinea,13707,284,136,3,11034,2537,0,1507,15,110286,12128,9093328,North America
140,Andorra,13510,40,127,0,13155,228,12,174611,1641,193595,2502133,77372,South America
141,Burkina Faso,13394,7,164,0,13194,36,0,626,8,183292,8566,21396554,North America
142,Haiti,13353,85,271,2,12414,668,0,1159,24,60085,5214,11522804,Asia
143,Tajikistan,13308,0,90,0,13218,0,0,1369,9,0,0,9722338,Africa
144,Togo,13244,6,125,0,11847,1272,0,1568,15,321577,38075,8445949,North America
145,Belize,12714,5,323,0,12337,54,1,31481,800,124603,308529,403861,Africa
146,Curaçao,12246,2,119,1,12059,68,23,74365,723,103024,625620,164675,Africa
147,Hong Kong,11819,1,210,0,11516,93,2,1565,28,14841321,1965821,7549680,North America
148,Martinique,11736,0,90,0,98,11548,24,31295,240,170302,454124,375012,Australia/Oceania
149,Suriname,11707,135,223,2,10112,1372,29,19803,377,55126,93247,591185,Africa
150,Djibouti,11402,13,151,0,11241,10,0,11397,151,153192,153127,1000422,North America
151,Congo,11343,0,148,0,8208,2987,0,2013,26,141948,25190,5635095,South America
152,Bahamas,11024,0,216,0,9967,841,5,27803,545,91550,230896,396498,North America
153,Aruba,10838,12,104,0,10639,95,14,101139,971,156663,1461968,107159,Asia
154,Lesotho,10778,0,320,0,6427,4031,0,4997,148,86427,40069,2156964,Africa
155,South Sudan,10651,10,115,0,10462,74,0,942,10,158678,14033,11307299,Africa
156,Seychelles,9184,0,32,0,6413,2739,0,92885,324,21504,217487,98875,North America
157,Benin,7995,0,101,0,7652,242,35,645,8,595112,48006,12396596,Europe
158,Equatorial Guinea,7694,0,112,0,7279,303,7,5334,78,123169,85381,1442573,Africa
159,Nicaragua,7086,0,184,0,4225,2677,0,1059,27,0,0,6692758,Asia
160,CAR,6866,0,95,0,5112,1659,2,1401,19,40907,8344,4902297,Africa
161,Iceland,6537,11,29,0,6445,63,3,19049,85,622370,1813628,343163,Africa
162,Yemen,6523,16,1285,7,3008,2230,23,215,42,35043,1153,30392400,Europe
163,Gambia,5940,6,175,0,5674,91,3,2400,71,76379,30859,2475082,Africa
164,Niger,5326,0,192,0,4936,198,2,213,8,101658,4073,24958286,Africa
165,San Marino,5083,0,90,0,4968,25,4,149531,2648,63241,1860412,33993,North America
166,Chad,4897,2,173,1,4677,47,0,291,10,116416,6917,16831306,Europe
167,Saint Lucia,4788,63,75,0,4511,202,2,25972,407,42879,232589,184355,Europe
168,Gibraltar,4286,0,94,0,4189,3,0,127249,2791,242473,7198890,33682,Africa
169,Burundi,4282,21,6,0,773,3503,0,351,5,279132,22889,12195292,Africa
170,Timor-Leste,4118,239,8,0,2146,1964,0,3073,6,84361,62950,1340122,North America
171,Sierra Leone,4103,7,79,0,3101,923,0,505,10,153257,18881,8116948,Africa
172,Channel Islands,4057,0,86,0,3956,15,0,23150,491,454413,2592927,175251,Africa
173,Barbados,3961,2,46,0,3916,-1,0,13769,160,161835,562552,287680,Africa
174,Comoros,3860,0,146,0,3688,26,0,4359,165,0,0,885578,Europe
175,Eritrea,3822,0,12,0,3639,171,0,1065,3,23693,6602,3588868,Asia
176,Vietnam,3816,106,35,0,2657,1124,0,39,4,3091540,31515,98097196,Australia/Oceania
177,Guinea-Bissau,3745,2,67,0,3427,251,9,1865,33,65454,32595,2008086,Europe
178,Liechtenstein,2981,1,58,0,2887,36,3,77990,1517,39109,1023180,38223,North America
179,New Zealand,2645,1,26,0,2601,18,0,529,5,2069812,413789,5002100,Africa
180,Monaco,2490,0,32,0,2428,30,1,63065,810,51953,1315832,39483,North America
181,Bermuda,2462,1,32,1,2234,196,7,39660,515,252609,4069219,62078,North America
182,Turks and Caicos,2404,0,17,0,2365,22,2,61374,434,65926,1683074,39170,Africa
183,Sao Tome and Principe,2324,4,35,0,2273,16,0,10437,157,12999,58377,222673,North America
184,Sint Maarten,2277,5,27,0,2221,29,2,52590,624,26880,620828,43297,North America
185,Liberia,2114,0,85,0,1962,67,2,410,16,97875,18968,5160130,Europe
186,St. Vincent Grenadines,1932,4,12,0,1769,151,2,17367,108,46829,420950,111246,North America
187,Saint Martin,1773,0,12,0,1399,362,7,45188,306,27588,703130,39236,Asia
188,Caribbean Netherlands,1591,1,17,0,1558,16,0,60188,643,10040,379814,26434,North America
189,Isle of Man,1590,0,29,0,1555,6,1,18613,339,44761,523992,85423,Africa
190,Laos,1498,16,2,1,513,983,0,203,3,213373,28964,7366840,Asia
191,Taiwan,1290,34,12,0,1107,171,0,54,5,571259,23948,23854195,Asia
192,Bhutan,1276,13,1,0,1121,154,0,1638,1,738413,947944,778963,North America
193,Mauritius,1275,0,17,0,1130,128,0,1001,13,358675,281623,1273600,Europe
194,Antigua and Barbuda,1240,0,32,0,1179,29,4,12572,324,16700,169318,98631,North America
195,St. Barth,974,0,1,0,462,511,0,98354,101,26385,2664344,9903,Africa
196,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,Australia/Oceania
197,Faeroe Islands,669,0,1,0,663,5,0,13646,20,259009,5283310,49024,Asia
198,Cayman Islands,565,4,2,0,547,16,0,8510,30,93583,1409595,66390,North America
199,Tanzania,509,0,21,0,183,305,7,8,3,0,0,61197893,North America
200,Wallis and Futuna,445,0,7,0,44,394,1,40210,633,17264,1559953,11067,North America
201,Brunei,232,0,3,0,220,9,0,526,7,123068,278998,441107,Australia/Oceania
202,British Virgin Islands,219,0,1,0,193,25,0,7203,33,39777,1308239,30405,Asia
203,Dominica,178,0,0,0,176,2,0,2467,0,15844,219625,72141,Australia/Oceania
204,Fiji,166,1,4,0,109,53,0,184,4,70792,78477,902075,South America
205,Grenada,161,0,1,0,160,0,0,1425,9,28684,253897,112975,Asia
206,New Caledonia,124,0,0,0,58,66,0,431,0,31166,108262,287875,North America
207,Anguilla,109,0,0,0,89,20,0,7209,0,21630,1430650,15119,Europe
208,Falkland Islands,63,0,0,0,63,0,0,17662,0,7258,2034763,3567,North America
209,Macao,49,0,0,0,49,0,0,75,0,4483,6824,656990,Australia/Oceania
210,Saint Kitts and Nevis,45,0,0,0,44,1,0,841,0,13691,255787,53525,Africa
211,Greenland,31,0,0,0,31,0,0,545,0,20669,363539,56855,Australia/Oceania
212,Vatican City,27,0,0,0,15,12,0,33624,0,0,0,803,Australia/Oceania
213,Saint Pierre Miquelon,25,0,0,0,25,0,0,4334,0,5318,921824,5769,Asia
214,Montserrat,20,0,1,0,19,0,0,4004,200,1313,262863,4995,Asia
215,Solomon Islands,20,0,0,0,20,0,0,29,0,4500,6416,701396,Ship
216,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,609991,North America
217,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,Ship
218,Vanuatu,4,0,1,0,3,0,0,13,3,23000,73405,313331,North America
219,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59536,North America
220,Samoa,3,0,0,0,2,1,0,15,0,0,0,199557,Australia/Oceania
221,Saint Helena,2,0,0,0,2,0,0,328,0,0,0,6093,Australia/Oceania
222,Micronesia,1,0,0,0,1,0,0,9,0,0,0,116067,Ship
