,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"161,472,416","+395,655","3,351,188","+6,379","140,292,568","+443,298","17,828,660","104,635","20,715",429.9,,,,All,"
",,,,,
55,55,Bolivia,"324,868","+2,290","13,345 ",+37,"266,512","+1,495","45,011",158,"27,508","1,130","1,275,910","108,038","11,809,861 ",South America,36,885,9,194,3,"3,811"
56,56,Tunisia,"324,103",,"11,637 ",,"283,270",,"29,196",446,"27,178",976,"1,376,013","115,389","11,925,011 ",Africa,37,"1,025",9,,,"2,448"
57,57,Paraguay,"304,889",,"7,358 ",,"252,425",,"45,106",599,"42,299","1,021","1,170,023","162,326","7,207,867 ",South America,24,980,6,,,"6,258"
58,58,Palestine,"303,270",,"3,401 ",,"288,891",,"10,978",78,"58,288",654,"1,784,690","343,013","5,202,977 ",Asia,17,"1,530",3,,,"2,110"
59,59,Kuwait,"288,184",,"1,669 ",,"273,289",,"13,226",197,"66,635",386,"2,429,889","561,847","4,324,826 ",Asia,15,"2,591",2,,,"3,058"
60,60,Costa Rica,"276,887",,"3,482 ",,"217,684",,"55,721",487,"53,930",678,"1,073,443","209,079","5,134,155 ",North America,19,"1,474",5,,,"10,853"
61,61,Dominican Republic,"274,319",+822,"3,560 ",+6,"232,625",+244,"38,134",242,"25,071",325,"1,461,677","133,590","10,941,511 ",North America,40,"3,073",7,75,0.5,"3,485"
62,62,Ethiopia,"264,367",,"3,938 ",,"214,808",,"45,621",659,"2,252",34,"2,634,674","22,442","117,401,048 ",Africa,444,"29,812",45,,,389
63,63,Denmark,"263,514","+1,355","2,499 ",,"248,683",+828,"12,332",36,"45,357",430,"45,170,604","7,774,914","5,809,788 ",Europe,22,"2,325",0,233,,"2,123"
64,64,Lithuania,"262,335","+1,136","4,071 ",+7,"236,442","+1,177","21,822",158,"97,545","1,514","3,048,832","1,133,654","2,689,386 ",Europe,10,661,1,422,3,"8,114"
65,65,Ireland,"254,013",,"4,937 ",,"236,747",+346,"12,329",34,"50,953",990,"4,729,538","948,711","4,985,227 ",Europe,20,"1,010",1,,,"2,473"
66,66,Moldova,"253,386",+213,"5,995 ",+14,"244,298",+225,"3,093",171,"62,940","1,489","1,033,892","256,812","4,025,866 ",Europe,16,672,4,53,3,768
67,67,Slovenia,"248,046",+597,"4,308 ",+4,"235,106",+917,"8,632",124,"119,300","2,072","1,220,132","586,832","2,079,185 ",Europe,8,483,2,287,2,"4,152"
68,68,Egypt,"240,927",,"14,091 ",,"178,805",,"48,031",90,"2,317",136,"2,715,258","26,111","103,990,069 ",Africa,432,"7,380",38,,,462
69,69,Guatemala,"237,682",,"7,815 ",,"217,219",,"12,648",5,"13,060",429,"1,322,009","72,638","18,199,887 ",North America,77,"2,329",14,,,695
70,70,Uruguay,"228,102",,"3,252 ",,"198,922",,"25,928",512,"65,469",933,"1,949,677","559,591","3,484,110 ",South America,15,"1,071",2,,,"7,442"
71,71,Honduras,"222,992",+874,"5,853 ",+64,"82,187",+214,"134,952",535,"22,211",583,"664,126","66,149","10,039,879 ",North America,45,"1,715",15,87,6,"13,442"
72,72,Armenia,"220,217",+267,"4,291 ",+19,"206,752",+674,"9,174",,"74,197","1,446","1,026,974","346,013","2,968,021 ",Asia,13,692,3,90,6,"3,091"
73,73,Qatar,"212,423",+299,522  ,+3,"205,160",+752,"6,741",225,"75,654",186,"1,961,687","698,655","2,807,805 ",Asia,13,"5,379",1,106,1,"2,401"
74,74,Venezuela,"210,948",,"2,337 ",,"194,166",,"14,445",316,"7,437",82,"3,359,014","118,415","28,366,348 ",South America,134,"12,138",8,,,509
75,75,Oman,"202,713",,"2,148 ",,"186,391",,"14,174",255,"38,851",412,"1,550,000","297,062","5,217,765 ",Asia,26,"2,429",3,,,"2,716"
76,76,Bosnia and Herzegovina,"202,003",+207,"8,958 ",+15,"168,145",+441,"24,900",,"61,904","2,745","936,259","286,916","3,263,177 ",Europe,16,364,3,63,5,"7,631"
77,77,Bahrain,"194,289",,705 ,,"178,458",,"15,126",142,"110,895",402,"4,292,201","2,449,868","1,752,013 ",Asia,9,"2,485",0,,,"8,633"
78,78,Libya,"180,945",,"3,082 ",,"167,322",,"10,541",,"26,029",443,"980,344","141,024","6,951,592 ",Africa,38,"2,256",7,,,"1,516"
79,79,Nigeria,"165,559",,"2,066 ",,"156,374",,"7,119",11,786,10,"1,977,479","9,394","210,512,785 ",Africa,"1,272","101,894",106,,,34
80,80,Kenya,"164,720",+334,"2,968 ",+18,"113,248",+124,"48,504",117,"3,007",54,"1,733,500","31,641","54,786,136 ",Africa,333,"18,459",32,6,0.3,885
81,81,North Macedonia,"154,494",+123,"5,168 ",+17,"143,069","+3,803","6,257",124,"74,158","2,481","748,069","359,079","2,083,300 ",Europe,13,403,3,59,8,"3,003"
82,82,Myanmar,"142,997",,"3,211 ",,"132,064",,"7,722",,"2,613",59,"2,595,359","47,426","54,723,983 ",Asia,383,"17,043",21,,,141
83,83,Sri Lanka,"135,796","+3,269",868 ,,"108,802","+1,145","26,126",,"6,319",40,"3,050,870","141,963","21,490,644 ",Asia,158,"24,759",7,152,,"1,216"
84,84,Albania,"131,890",+45,"2,426 ",+3,"121,122","+1,050","8,342",18,"45,873",844,"666,176","231,707","2,875,084 ",Europe,22,"1,185",4,16,1,"2,901"
85,85,S. Korea,"129,633",+715,"1,891 ",+7,"119,906",+533,"7,836",160,"2,527",37,"9,241,153","180,114","51,307,257 ",Asia,396,"27,132",6,14,0.1,153
86,86,Latvia,"126,378",+689,"2,240 ",+17,"114,981",,"9,157",81,"67,649","1,199","2,455,203","1,314,245","1,868,147 ",Europe,15,834,1,369,9,"4,902"
87,87,Estonia,"126,364",+300,"1,212 ",+2,"117,582",+474,"7,570",36,"95,203",913,"1,346,257","1,014,279","1,327,305 ",Europe,11,"1,095",1,226,2,"5,703"
88,88,Algeria,"124,682",,"3,350 ",,"86,857",,"34,475",28,"2,800",75,"230,861","5,184","44,530,480 ",Africa,357,"13,293",193,,,774
89,89,Cuba,"120,561","+1,186",778 ,+10,"113,493","+1,032","6,290",138,"10,650",69,"3,923,413","346,571","11,320,648 ",North America,94,"14,551",3,105,0.9,556
90,90,Norway,"118,145",+150,774 ,,"88,952",,"28,419",23,"21,647",142,"5,423,294","993,688","5,457,742 ",Europe,46,"7,051",1,27,,"5,207"
91,91,Kyrgyzstan,"99,645",+329,"1,681 ",+6,"92,718",+309,"5,246",85,"15,060",254,"1,043,213","157,666","6,616,606 ",Asia,66,"3,936",6,50,0.9,793
92,92,Montenegro,"98,619",+73,"1,551 ",+3,"95,544",+176,"1,524",64,"157,003","2,469","390,682","621,971","628,135 ",Europe,6,405,2,116,5,"2,426"
93,93,Uzbekistan,"95,826",+359,667 ,+1,"91,301",+325,"3,858",23,"2,828",20,"1,377,915","40,663","33,885,934 ",Asia,354,"50,803",25,11,0.03,114
94,94,Thailand,"93,794","+4,887",518 ,+32,"60,615","+1,572","32,661","1,207","1,341",7,"8,124,896","116,151","69,951,033 ",Asia,746,"135,041",9,70,0.5,467
95,95,Ghana,"93,125",,783 ,,"90,910",,"1,432",7,"2,944",25,"1,113,553","35,207","31,628,917 ",Africa,340,"40,395",28,,,45
96,96,Zambia,"92,211",,"1,259 ",,"90,574",,378,42,"4,899",67,"1,453,013","77,189","18,824,120 ",Africa,204,"14,952",13,,,20
97,97,Finland,"89,532",+262,930 ,,"46,000",,"42,602",24,"16,137",168,"4,716,650","850,131","5,548,145 ",Europe,62,"5,966",1,47,,"7,679"
98,98,Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297",385,"2,764",42,"1,518,411","56,006","27,111,439 ",Africa,362,"23,534",18,,,122
99,99,El Salvador,"70,915",,"2,173 ",+5,"66,418",,"2,324",28,"10,886",334,"946,627","145,313","6,514,410 ",North America,92,"2,998",7,,0.8,357
100,100,Cyprus,"70,358",,341 ,,"39,061",,"30,956",56,"57,911",281,"5,566,171","4,581,482","1,214,928 ",Asia,17,"3,563",0,,,"25,480"
101,101,Mozambique,"70,287",,826 ,,"68,047",,"1,414",24,"2,196",26,"530,868","16,588","32,004,065 ",Africa,455,"38,746",60,,,44
102,102,Luxembourg,"68,748",,806 ,,"65,513",,"2,429",30,"108,312","1,270","2,748,184","4,329,744","634,722 ",Europe,9,787,0,,,"3,827"
103,103,Afghanistan,"63,349",+407,"2,730 ",+9,"54,619",+85,"6,000","1,124","1,597",69,"428,390","10,796","39,679,387 ",Asia,626,"14,535",93,10,0.2,151
104,104,Singapore,"61,453",+34,31 ,,"61,029",+23,393,3,"10,434",5,"10,441,802","1,772,814","5,889,959 ",Asia,96,"189,999",1,6,,67
105,105,Namibia,"50,515",,702 ,,"47,698",,"2,115",54,"19,577",272,"404,532","156,772","2,580,388 ",Africa,51,"3,676",6,,,820
106,106,Botswana,"49,041",,751 ,,"46,290",,"2,000",1,"20,499",314,"1,086,267","454,061","2,392,337 ",Africa,49,"3,186",2,,,836
