,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,32,Hungary,"793,784",+905,"28,888 ",+96,"592,440","+8,638","172,456",361,"82,349","2,997","5,560,617","576,873","9,639,232 ",Europe,12,334,2,94,10,"17,891"
33,33,Bangladesh,"777,397","+1,140","12,045 ",+40,"718,249","+2,928","47,103","1,120","4,680",73,"5,677,222","34,180","166,096,704 ",Asia,214,"13,790",29,7,0.2,284
34,34,Jordan,"722,336",+483,"9,180 ",+29,"708,854","+1,552","4,302",729,"70,198",892,"6,893,261","669,898","10,290,015 ",Asia,14,"1,121",1,47,3,418
35,35,Serbia,"703,497","+1,046","6,611 ",+17,"669,310","+2,366","27,576",104,"80,796",759,"3,964,964","455,374","8,707,058 ",Europe,12,"1,317",2,120,2,"3,167"
36,36,Switzerland,"677,210","+1,539","10,724 ",+3,"612,471","+3,061","54,015",190,"77,760","1,231","7,216,520","828,632","8,708,956 ",Europe,13,812,1,177,0.3,"6,202"
37,37,Japan,"651,702","+6,242","11,064 ",+123,"568,558","+4,430","72,080","1,189","5,166",88,"12,700,938","100,687","126,143,068 ",Asia,194,"11,401",10,49,1.0,571
38,38,Austria,"633,960","+1,194","10,428 ",+15,"609,666","+1,954","13,866",344,"70,047","1,152","35,383,018","3,909,495","9,050,535 ",Europe,14,868,0,132,2,"1,532"
39,39,UAE,"540,646","+1,508","1,619 ",+2,"520,882","+1,477","18,145",,"54,103",162,"46,401,225","4,643,454","9,992,825 ",Asia,18,"6,172",0,151,0.2,"1,816"
40,40,Lebanon,"533,685",,"7,527 ",,"489,319",,"36,839",403,"78,493","1,107","4,136,091","608,328","6,799,116 ",Asia,13,903,2,,,"5,418"
41,41,Morocco,"514,164",,"9,083 ",,"501,404",,"3,677",108,"13,790",244,"6,348,840","170,276","37,285,573 ",Africa,73,"4,105",6,,,99
42,42,Malaysia,"453,222","+4,765","1,761 ",+39,"411,360","+3,124","40,101",469,"13,851",54,"10,257,115","313,469","32,721,343 ",Asia,72,"18,581",3,146,1,"1,226"
43,43,Saudi Arabia,"428,369",,"7,098 ",,"412,102",,"9,169","1,358","12,143",201,"17,669,879","500,875","35,278,014 ",Asia,82,"4,970",2,,,260
44,44,Nepal,"422,349","+9,238","4,252 ",+168,"316,463","+4,444","101,634",,"14,276",144,"2,693,088","91,029","29,585,051 ",Asia,70,"6,958",11,312,6,"3,435"
45,45,Bulgaria,"412,157",,"17,104 ",,"353,619",,"41,434",535,"59,704","2,478","2,620,183","379,552","6,903,351 ",Europe,17,404,3,,,"6,002"
46,46,Ecuador,"402,595",,"19,286 ",,"342,878",,"40,431",616,"22,526","1,079","1,343,901","75,194","17,872,435 ",South America,44,927,13,,,"2,262"
47,47,Slovakia,"386,540",+404,"12,096 ",+19,"369,103",+656,"5,341",242,"70,770","2,215","2,740,888","501,818","5,461,917 ",Europe,14,452,2,74,3,978
48,48,Belarus,"371,405",+896,"2,661 ",+9,"362,112","+1,196","6,632",,"39,316",282,"6,028,936","638,209","9,446,649 ",Europe,25,"3,550",2,95,1.0,702
49,49,Greece,"369,554","+2,478","11,211 ",+70,"331,819",,"26,524",707,"35,605","1,080","8,645,362","832,951","10,379,193 ",Europe,28,926,1,239,7,"2,555"
50,50,Panama,"368,368",,"6,282 ",,"357,714",,"4,372",105,"84,239","1,437","2,477,351","566,522","4,372,910 ",North America,12,696,2,,,"1,000"
51,51,Kazakhstan,"348,308","+1,811","3,964 ",+16,"304,673","+2,816","39,671",221,"18,362",209,"10,535,853","555,418","18,969,219 ",Asia,54,"4,785",2,95,0.8,"2,091"
52,52,Croatia,"347,094","+1,471","7,589 ",+40,"331,388","+1,059","8,117",215,"85,000","1,858","1,898,906","465,025","4,083,449 ",Europe,12,538,2,360,10,"1,988"
53,53,Azerbaijan,"328,159",+558,"4,726 ",+13,"309,771","+1,454","13,662",,"32,117",463,"3,353,167","328,176","10,217,588 ",Asia,31,"2,162",3,55,1,"1,337"
54,54,Georgia,"325,665","+1,409","4,363 ",+27,"304,935","+1,256","16,367",,"81,772","1,096","4,441,181","1,115,153","3,982,576 ",Asia,12,913,1,354,7,"4,110"
55,55,Tunisia,"322,998",,"11,556 ",,"281,554",,"29,888",489,"27,087",969,"1,371,995","115,055","11,924,673 ",Africa,37,"1,032",9,,,"2,506"
56,56,Bolivia,"320,209",,"13,258 ",,"262,970",,"43,981",158,"27,115","1,123","1,255,636","106,325","11,809,425 ",South America,37,891,9,,,"3,724"
57,57,Palestine,"302,777",,"3,393 ",,"287,932",,"11,452",78,"58,197",652,"1,781,690","342,458","5,202,653 ",Asia,17,"1,533",3,,,"2,201"
58,58,Paraguay,"302,061",,"7,284 ",,"250,502",,"44,275",581,"41,909","1,011","1,163,740","161,460","7,207,627 ",South America,24,990,6,,,"6,143"
59,59,Kuwait,"287,199",,"1,660 ",,"272,123",,"13,416",198,"66,410",384,"2,421,222","559,865","4,324,653 ",Asia,15,"2,605",2,,,"3,102"
60,60,Costa Rica,"273,714",,"3,456 ",,"216,191",,"54,067",459,"53,314",673,"1,064,094","207,263","5,134,028 ",North America,19,"1,486",5,,,"10,531"
61,61,Dominican Republic,"273,497",+688,"3,554 ",+4,"232,381",+56,"37,562",242,"24,997",325,"1,456,859","133,153","10,941,214 ",North America,40,"3,079",8,63,0.4,"3,433"
62,62,Ethiopia,"263,672",,"3,911 ",,"212,567",,"47,194",694,"2,246",33,"2,628,952","22,394","117,393,244 ",Africa,445,"30,016",45,,,402
63,63,Denmark,"262,159","+1,246","2,499 ",,"247,855",+952,"11,805",29,"45,124",430,"44,483,648","7,656,746","5,809,733 ",Europe,22,"2,325",0,214,,"2,032"
64,64,Lithuania,"261,128","+1,230","4,059 ",+3,"235,265","+1,042","21,804",166,"97,092","1,509","3,027,000","1,125,493","2,689,489 ",Europe,10,663,1,457,1,"8,107"
65,65,Ireland,"253,567",,"4,929 ",,"236,401",+377,"12,237",34,"50,865",989,"4,709,664","944,753","4,985,076 ",Europe,20,"1,011",1,,,"2,455"
66,66,Moldova,"253,173",+224,"5,981 ",+11,"244,073",+196,"3,119",171,"62,886","1,486","1,029,440","255,705","4,025,892 ",Europe,16,673,4,56,3,775
67,67,Slovenia,"247,449",+726,"4,304 ",+2,"234,189",+401,"8,956",128,"119,013","2,070","1,215,496","584,602","2,079,184 ",Europe,8,483,2,349,1.0,"4,307"
68,68,Egypt,"239,740",,"14,033 ",,"178,241",,"47,466",90,"2,306",135,"2,715,258","26,112","103,984,787 ",Africa,434,"7,410",38,,,456
69,69,Guatemala,"236,266",,"7,776 ",,"215,803",,"12,687",5,"12,982",427,"1,314,516","72,230","18,198,980 ",North America,77,"2,340",14,,,697
70,70,Uruguay,"225,847",,"3,208 ",,"197,085",,"25,554",525,"64,823",921,"1,934,871","555,347","3,484,077 ",South America,15,"1,086",2,,,"7,335"
71,71,Honduras,"222,118","+1,130","5,789 ",+88,"81,973",+334,"134,356",535,"22,125",577,"660,435","65,784","10,039,448 ",North America,45,"1,734",15,113,9,"13,383"
72,72,Armenia,"219,950",+354,"4,272 ",+16,"206,078",+403,"9,600",,"74,107","1,439","1,023,251","344,761","2,968,005 ",Asia,13,695,3,119,5,"3,234"
73,73,Qatar,"212,124",+392,519 ,+3,"204,408",+862,"7,197",231,"75,548",185,"1,957,978","697,334","2,807,805 ",Asia,13,"5,410",1,140,1,"2,563"
74,74,Venezuela,"210,116",,"2,320 ",,"193,089",,"14,707",316,"7,407",82,"3,359,014","118,415","28,366,567 ",South America,135,"12,227",8,,,518
75,75,Oman,"202,713",,"2,148 ",,"186,391",,"14,174",255,"38,853",412,"1,550,000","297,082","5,217,409 ",Asia,26,"2,429",3,,,"2,717"
76,76,Bosnia and Herzegovina,"201,796",+284,"8,943 ",+31,"167,704",+817,"25,149",,"61,839","2,741","934,460","286,360","3,263,232 ",Europe,16,365,3,87,9,"7,707"
77,77,Bahrain,"192,750",,697 ,,"177,212",,"14,841",142,"110,027",398,"4,273,842","2,439,616","1,751,850 ",Asia,9,"2,513",0,,,"8,472"
78,78,Libya,"180,692",,"3,077 ",,"167,043",,"10,572",,"25,994",443,"978,899","140,822","6,951,337 ",Africa,38,"2,259",7,,,"1,521"
79,79,Nigeria,"165,515",,"2,065 ",,"156,358",,"7,092",11,786,10,"1,939,165","9,212","210,498,783 ",Africa,"1,272","101,936",109,,,34
80,80,Kenya,"164,386",+410,"2,950 ",+22,"113,124",+67,"48,312",119,"3,001",54,"1,729,345","31,567","54,782,893 ",Africa,333,"18,570",32,7,0.4,882
81,81,North Macedonia,"154,372",+150,"5,151 ",+16,"139,266",+487,"9,955",124,"74,100","2,473","745,471","357,832","2,083,300 ",Europe,13,404,3,72,8,"4,778"
82,82,Myanmar,"142,997",+23,"3,211 ",+1,"132,064",+14,"7,722",,"2,613",59,"2,595,359","47,427","54,722,988 ",Asia,383,"17,042",21,0.4,0.02,141
83,83,Sri Lanka,"132,527","+1,429",850 ,,"107,657","+1,016","24,020",,"6,167",40,"2,951,123","137,323","21,490,399 ",Asia,162,"25,283",7,66,,"1,118"
84,84,Albania,"131,845",+42,"2,423 ",+3,"120,072","+1,011","9,350",18,"45,858",843,"663,580","230,803","2,875,093 ",Europe,22,"1,187",4,15,1,"3,252"
85,85,S. Korea,"128,918",+635,"1,884 ",+5,"119,373",+656,"7,661",167,"2,513",37,"9,201,539","179,342","51,307,137 ",Asia,398,"27,233",6,12,0.10,149
86,86,Estonia,"126,064",+371,"1,210 ",+4,"117,108",+460,"7,746",37,"94,978",912,"1,341,932","1,011,022","1,327,302 ",Europe,11,"1,097",1,280,3,"5,836"
87,87,Latvia,"125,689",+729,"2,223 ",+6,"114,981","+1,551","8,485",81,"67,278","1,190","2,438,786","1,305,417","1,868,204 ",Europe,15,840,1,390,3,"4,542"
88,88,Algeria,"124,483",,"3,343 ",,"86,703",,"34,437",28,"2,796",75,"230,861","5,185","44,528,314 ",Africa,358,"13,320",193,,,773
89,89,Cuba,"119,375","+1,207",768 ,+13,"112,461","+1,136","6,146",135,"10,545",68,"3,900,479","344,545","11,320,667 ",North America,95,"14,740",3,107,1,543
90,90,Norway,"117,757",+262,774 ,+7,"88,952",,"28,031",22,"21,577",142,"5,423,294","993,709","5,457,626 ",Europe,46,"7,051",1,48,1,"5,136"
91,91,Kyrgyzstan,"99,316",+283,"1,675 ",+8,"92,409",+289,"5,232",85,"15,011",253,"1,037,894","156,869","6,616,312 ",Asia,67,"3,950",6,43,1,791
92,92,Montenegro,"98,546",+97,"1,548 ",+3,"95,368",+148,"1,630",64,"156,887","2,464","389,412","619,951","628,134 ",Europe,6,406,2,154,5,"2,595"
93,93,Uzbekistan,"95,467",+395,666 ,+2,"90,976",+312,"3,825",23,"2,817",20,"1,377,915","40,665","33,884,609 ",Asia,355,"50,878",25,12,0.06,113
94,94,Ghana,"93,011",,783 ,,"90,697",,"1,531",7,"2,941",25,"1,108,763","35,057","31,627,141 ",Africa,340,"40,392",29,,,48
95,95,Zambia,"92,152",,"1,258 ",,"90,539",,355,42,"4,896",67,"1,448,213","76,940","18,822,708 ",Africa,204,"14,962",13,,,19
96,96,Finland,"88,990",,927 ,,"46,000",,"42,063",26,"16,040",167,"4,679,035","843,355","5,548,122 ",Europe,62,"5,985",1,,,"7,581"
97,97,Thailand,"88,907","+1,983",486 ,+34,"59,043","+2,006","29,378","1,207","1,271",7,"8,124,896","116,152","69,950,556 ",Asia,787,"143,931",9,28,0.5,420
98,98,Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297",385,"2,765",42,"1,518,411","56,010","27,109,628 ",Africa,362,"23,533",18,,,122
99,99,El Salvador,"70,380",,"2,168 ",+4,"65,921",,"2,291",28,"10,804",333,"936,793","143,805","6,514,320 ",North America,93,"3,005",7,,0.6,352
100,100,Mozambique,"70,267",,826 ,,"67,884",,"1,557",24,"2,196",26,"529,546","16,547","32,001,663 ",Africa,455,"38,743",60,,,49
101,101,Cyprus,"70,098",,339 ,,"39,061",,"30,698",57,"57,698",279,"5,511,355","4,536,453","1,214,904 ",Asia,17,"3,584",0,,,"25,268"
102,102,Luxembourg,"68,748",+196,806 ,,"65,513",,"2,429",30,"108,317","1,270","2,748,184","4,329,935","634,694 ",Europe,9,787,0,309,,"3,827"
103,103,Afghanistan,"62,942",+224,"2,721 ",+8,"54,534",+31,"5,687","1,124","1,586",69,"426,560","10,751","39,676,986 ",Asia,630,"14,582",93,6,0.2,143
104,104,Singapore,"61,419",+16,31 ,,"60,975",,413,3,"10,428",5,"10,441,802","1,772,852","5,889,834 ",Asia,96,"189,995",1,3,,70
105,105,Namibia,"50,301",,696 ,,"47,518",,"2,087",51,"19,495",270,"402,641","156,047","2,580,262 ",Africa,51,"3,707",6,,,809
106,106,Botswana,"49,041",,751 ,,"46,290",,"2,000",1,"20,500",314,"1,086,267","454,086","2,392,207 ",Africa,49,"3,185",2,,,836
107,107,Jamaica,"46,922",+101,820 ,+6,"22,636",+119,"23,466",14,"15,787",276,"348,636","117,296","2,972,273 ",North America,63,"3,625",9,34,2,"7,895"
108,108,Ivory Coast,"46,484",,292 ,,"45,910",,282,,"1,726",11,"608,960","22,608","26,935,594 ",Africa,579,"92,245",44,,,10
109,109,Mongolia,"46,448",+512,184 ,+5,"35,733","+1,503","10,531",110,"13,976",55,"2,800,505","842,643","3,323,476 ",Asia,72,"18,062",1,154,2,"3,169"
110,110,Uganda,"42,427",,346 ,,"41,971",,110,24,903,7,"1,044,170","22,230","46,970,372 ",Africa,"1,107","135,753",45,,,2
111,111,Senegal,"40,762",+33,"1,121 ",+1,"39,460",+32,181,12,"2,381",65,"493,457","28,823","17,120,176 ",Africa,420,"15,272",35,2,0.06,11
112,112,Madagascar,"39,510",+159,738 ,+6,"36,881",+248,"1,891",301,"1,396",26,"193,431","6,835","28,298,188 ",Africa,716,"38,344",146,6,0.2,67
113,113,Maldives,"38,520",,87 ,,"26,795",,"11,638",90,"70,204",159,"773,298","1,409,358","548,688 ",Asia,14,"6,307",1,,,"21,211"
114,114,Zimbabwe,"38,448",,"1,579 ",,"36,221",,648,12,"2,555",105,"436,994","29,040","15,048,213 ",Africa,391,"9,530",34,,,43
115,115,Sudan,"34,272",,"2,446 ",,"27,949",,"3,877",,766,55,"232,965","5,209","44,723,245 ",Africa,"1,305","18,284",192,,,87
116,116,Malawi,"34,183",,"1,153 ",,"32,170",,860,11,"1,748",59,"236,897","12,117","19,551,547 ",Africa,572,"16,957",83,,,44
117,117,Malta,"30,469",+5,417 ,,"29,860",+17,192,,"68,848",942,"889,079","2,008,973","442,554 ",Europe,15,"1,061",0,11,,434
118,118,DRC,"30,429",+37,775 ,,"26,541",+107,"3,113",,331,8,"154,866","1,686","91,879,676 ",Africa,"3,019","118,554",593,0.4,,34
119,119,Australia,"29,946",+8,910 ,,"28,815",,221,1,"1,163",35,"17,346,790","673,570","25,753,517 ",Australia/Oceania,860,"28,301",1,0.3,,9
120,120,Angola,"29,146",,639 ,,"25,145",,"3,362",20,864,19,"527,590","15,639","33,736,498 ",Africa,"1,158","52,796",64,,,100
121,121,Cabo Verde,"26,709",,236 ,,"23,692",,"2,781",23,"47,596",421,"156,769","279,363","561,165 ",Africa,21,"2,378",4,,,"4,956"
122,122,Rwanda,"25,773",,340 ,,"24,333",,"1,100",,"1,949",26,"1,350,982","102,145","13,226,156 ",Africa,513,"38,900",10,,,83
123,123,Gabon,"23,565",,143 ,,"20,051",,"3,371",19,"10,378",63,"754,964","332,501","2,270,563 ",Africa,96,"15,878",3,,,"1,485"
124,124,Syria,"23,490",,"1,670 ",,"19,316",,"2,504",,"1,315",93,"103,566","5,798","17,863,450 ",Asia,760,"10,697",172,,,140
125,125,Guinea,"22,719",,151 ,,"20,341",,"2,227",24,"1,691",11,"444,435","33,077","13,436,461 ",Africa,591,"88,983",30,,,166
126,126,Réunion,"22,644",,169 ,,"21,603",,872,36,"25,138",188,"102,720","114,032","900,797 ",Africa,40,"5,330",9,,,968
127,127,French Guiana,"20,877",,106 ,,"9,995",,"10,776",25,"68,385",347,"229,935","753,181","305,285 ",South America,15,"2,880",1,,,"35,298"
128,128,Cambodia,"20,695",+472,136 ,+5,"8,539",+369,"12,020",,"1,223",8,"1,018,022","60,177","16,917,166 ",Asia,817,"124,391",17,28,0.3,711
129,129,Mayotte,"20,134",,170 ,,"2,964",,"17,000",4,"72,312",611,"174,251","625,827","278,433 ",Africa,14,"1,638",2,,,"61,056"
130,130,French Polynesia,"18,797",,141 ,,"18,617",,39,1,"66,584",499,"26,355","93,357","282,303 ",Australia/Oceania,15,"2,002",11,,,138
131,131,Mauritania,"18,691",,456 ,,"17,918",,317,14,"3,932",96,"244,473","51,426","4,753,876 ",Africa,254,"10,425",19,,,67
132,132,Eswatini,"18,487",,671 ,,"17,784",,32,3,"15,795",573,"194,247","165,957","1,170,466 ",Africa,63,"1,744",6,,,27
133,133,Guadeloupe,"16,017",,221 ,,"2,242",,"13,554",33,"40,024",552,"195,404","488,287","400,183 ",North America,25,"1,811",2,,,"33,870"
134,134,Guyana,"14,531",,331 ,,"12,443",,"1,757",16,"18,398",419,"130,875","165,704","789,813 ",South America,54,"2,386",6,,,"2,225"
135,135,Somalia,"14,486",,753 ,,"6,325",,"7,408",,890,46,"120,132","7,383","16,271,101 ",Africa,"1,123","21,608",135,,,455
136,136,Mali,"14,133",,506 ,,"9,073",,"4,554",,681,24,"279,721","13,482","20,747,749 ",Africa,"1,468","41,003",74,,,219
137,137,Trinidad and Tobago,"13,802",,224 ,,"9,500",,"4,078",71,"9,835",160,"147,470","105,082","1,403,383 ",North America,102,"6,265",10,,,"2,906"
138,138,Andorra,"13,447",,127 ,,"13,070",,250,12,"173,799","1,641","193,595","2,502,165","77,371 ",Europe,6,609,0,,,"3,231"
139,139,Burkina Faso,"13,384",,164 ,,"13,180",,40,,626,8,"182,551","8,534","21,391,839 ",Africa,"1,598","130,438",117,,,2
140,141,Haiti,"13,227",,266 ,,"12,304",,657,,"1,148",23,"60,085","5,215","11,521,665 ",North America,871,"43,315",192,,,57
141,142,Togo,"13,167",,125 ,,"11,694",,"1,348",,"1,559",15,"318,622","37,732","8,444,354 ",Africa,641,"67,555",27,,,160
142,143,Papua New Guinea,"12,997",+771,130 ,+9,"10,915",+248,"1,952",,"1,430",14,"104,674","11,513","9,091,937 ",Australia/Oceania,700,"69,938",87,85,1.0,215
143,144,Belize,"12,704",,323 ,,"12,307",,74,1,"31,461",800,"122,702","303,867","403,802 ",North America,32,"1,250",3,,,183
144,145,Curaçao,"12,236",,117 ,,"11,992",,127,22,"74,306",711,"101,029","613,524","164,670 ",North America,13,"1,407",2,,,771
145,146,Hong Kong,"11,815",+2,210 ,,"11,505",+2,100,3,"1,565",28,"14,841,321","1,965,951","7,549,182 ",Asia,639,"35,948",1,0.3,,13
146,147,Martinique,"11,736",,90 ,,98,,"11,548",24,"31,295",240,"170,302","454,121","375,015 ",North America,32,"4,167",2,,,"30,793"
147,148,Djibouti,"11,369",,151 ,,"11,182",,36,,"11,366",151,"152,660","152,614","1,000,304 ",Africa,88,"6,625",7,,,36
148,149,Congo,"11,343",,148 ,,"8,208",,"2,987",,"2,013",26,"141,948","25,195","5,633,978 ",Africa,497,"38,067",40,,,530
149,150,Suriname,"11,306",,220 ,,"9,907",,"1,179",25,"19,126",372,"53,811","91,029","591,142 ",South America,52,"2,687",11,,,"1,994"
150,151,Bahamas,"10,908",,214 ,,"9,854",,840,5,"27,513",540,"90,693","228,753","396,467 ",North America,36,"1,853",4,,,"2,119"
151,152,Aruba,"10,795",,104 ,,"10,596",,95,14,"100,741",971,"154,991","1,446,405","107,156 ",North America,10,"1,030",1,,,887
152,153,Lesotho,"10,774",+1,319 ,,"6,427",,"4,028",,"4,995",148,"85,504","39,643","2,156,825 ",Africa,200,"6,761",25,0.5,,"1,868"
153,154,South Sudan,"10,641",,115 ,,"10,462",,64,,941,10,"156,542","13,846","11,306,223 ",Africa,"1,063","98,315",72,,,6
154,155,Seychelles,"8,172",,28 ,,"5,658",,"2,486",,"82,654",283,"21,504","217,498","98,870 ",Africa,12,"3,531",5,,,"25,144"
155,156,Benin,"7,995",,101 ,,"7,652",,242,35,645,8,"595,112","48,016","12,393,984 ",Africa,"1,550","122,713",21,,,20
156,157,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,335",78,"123,169","85,404","1,442,193 ",Africa,187,"12,877",12,,,210
157,158,Nicaragua,"7,086",,184 ,,"4,225",,"2,677",,"1,059",27,,,"6,692,112 ",North America,944,"36,370",,,,400
158,159,CAR,"6,674",,93 ,,"5,112",,"1,469",2,"1,362",19,"40,907","8,346","4,901,608 ",Africa,734,"52,705",120,,,300
159,160,Iceland,"6,526",+4,29 ,,"6,422",+13,75,3,"19,018",85,"622,370","1,813,723","343,145 ",Europe,53,"11,833",1,12,,219
160,161,Yemen,"6,492",,"1,276 ",,"3,003",,"2,213",23,214,42,"34,287","1,128","30,387,003 ",Asia,"4,681","23,814",886,,,73
161,162,Gambia,"5,934",,175 ,,"5,648",,111,3,"2,398",71,"76,379","30,866","2,474,524 ",Africa,417,"14,140",32,,,45
162,163,Niger,"5,324",,192 ,,"4,929",,203,2,213,8,"101,502","4,068","24,951,059 ",Africa,"4,687","129,953",246,,,8
