,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"144,133,088","+588,907","3,064,673","+7,692","122,586,006","+432,002","18,482,409","109,445","18,491",393.2,,,,All,"
",,
71,71,Honduras,"202,413",+736,"4,976 ",+13,"76,446",+107,"120,991",546,"20,180",496,"564,993","56,328","10,030,403 ",North America,50,"2,016",18
72,72,Qatar,"198,361",,391 ,,"175,431",,"22,539",459,"70,646",139,"1,849,568","658,724","2,807,805 ",Asia,14,"7,181",2
73,73,Bosnia and Herzegovina,"193,115","+1,239","8,082 ",+57,"150,458","+1,185","34,575",,"59,158","2,476","880,667","269,779","3,264,397 ",Europe,17,404,4
74,74,Venezuela,"185,736",,"1,944 ",,"168,418",,"15,374",289,"6,547",69,"3,359,014","118,395","28,371,170 ",South America,153,"14,594",8
75,75,Oman,"183,770","+1,077","1,926 ",+17,"163,750","+1,094","18,094",264,"35,273",370,"1,550,000","297,509","5,209,934 ",Asia,28,"2,705",3
76,76,Libya,"173,683",+594,"2,924 ",+5,"158,891",+539,"11,868",,"25,005",421,"937,519","134,973","6,945,974 ",Africa,40,"2,376",7
77,77,Uruguay,"169,327",,"2,022 ",,"139,590",,"27,715",522,"48,610",580,"1,657,931","475,954","3,483,388 ",South America,21,"1,723",2
78,78,Bahrain,"166,157",,605 ,,"154,711",,"10,841",95,"95,032",346,"3,934,735","2,250,430","1,748,437 ",Asia,11,"2,890",0
79,79,Nigeria,"164,423",,"2,061 ",,"154,406",,"7,956",11,782,10,"1,870,915","8,900","210,204,747 ",Africa,"1,278","101,992",112
80,80,Kenya,"153,488",+965,"2,540 ",+21,"105,279","+1,441","45,669",240,"2,805",46,"1,618,990","29,590","54,714,776 ",Africa,356,"21,541",34
81,81,North Macedonia,"148,618",+623,"4,556 ",+47,"125,593",+765,"18,469",124,"71,338","2,187","698,132","335,108","2,083,305 ",Europe,14,457,3
82,82,Myanmar,"142,661",+17,"3,206 ",,"131,908",+5,"7,547",,"2,608",59,"2,560,807","46,814","54,702,094 ",Asia,383,"17,062",21
83,83,Albania,"129,980",+138,"2,358 ",+5,"103,066",+465,"24,556",18,"45,206",820,"610,869","212,456","2,875,272 ",Europe,22,"1,219",5
84,84,Algeria,"120,174",+182,"3,172 ",+7,"83,765",+129,"33,237",19,"2,702",71,"230,861","5,190","44,482,821 ",Africa,370,"14,024",193
85,85,Estonia,"118,789",+472,"1,109 ",+5,"104,653","+1,067","13,027",58,"89,500",836,"1,244,142","937,383","1,327,251 ",Europe,11,"1,197",1
86,86,S. Korea,"115,926",+731,"1,806 ",+4,"105,877",+650,"8,243",116,"2,260",35,"8,497,594","165,630","51,304,613 ",Asia,443,"28,408",6
87,87,Latvia,"112,983",+759,"2,079 ",+8,"102,596",+306,"8,308",78,"60,438","1,112","2,162,978","1,157,049","1,869,392 ",Europe,17,899,1
88,88,Norway,"108,839",+252,734 ,+25,"88,952",,"19,153",47,"19,951",135,"5,009,274","918,257","5,455,197 ",Europe,50,"7,432",1
89,89,Sri Lanka,"98,050",+578,630 ,+5,"93,668",+121,"3,752",,"4,564",29,"2,374,627","110,524","21,485,260 ",Asia,219,"34,104",9
90,90,Cuba,"96,760","+1,006",547 ,+9,"91,034",+967,"5,179",62,"8,547",48,"3,429,088","302,895","11,321,062 ",North America,117,"20,697",3
91,91,Montenegro,"96,048",+154,"1,444 ",+3,"91,679",+276,"2,925",69,"152,911","2,299","364,369","580,085","628,130 ",Europe,7,435,2
92,92,Kyrgyzstan,"92,626",+306,"1,561 ",+4,"87,390",+161,"3,675",25,"14,013",236,"946,070","143,124","6,610,130 ",Asia,71,"4,235",7
93,93,Ghana,"91,783",+74,772 ,+1,"89,661",+57,"1,350",9,"2,905",24,"1,049,742","33,230","31,589,851 ",Africa,344,"40,919",30
94,94,Zambia,"91,119",+77,"1,238 ",+2,"88,956",+56,925,42,"4,849",66,"1,360,648","72,402","18,793,052 ",Africa,206,"15,180",14
95,95,Uzbekistan,"87,551",+326,640 ,+1,"84,717",+184,"2,194",23,"2,586",19,"1,377,915","40,698","33,856,766 ",Asia,387,"52,901",25
96,96,Finland,"84,797",+296,899 ,+6,"46,000",,"37,898",35,"15,285",162,"4,309,875","776,886","5,547,630 ",Europe,65,"6,171",1
97,97,Mozambique,"69,437",+128,805 ,+3,"62,342",+19,"6,290",43,"2,173",25,"507,194","15,874","31,951,225 ",Africa,460,"39,691",63
98,98,El Salvador,"67,851",,"2,086 ",+4,"63,982",,"1,783",60,"10,419",320,"892,504","137,046","6,512,447 ",North America,96,"3,122",7
99,99,Luxembourg,"65,604",+285,788 ,+2,"61,791",+197,"3,025",30,"103,459","1,243","2,589,959","4,084,407","634,109 ",Europe,10,805,0
100,100,Cameroon,"64,809",,939 ,,"57,821",,"6,049",385,"2,394",35,"1,257,949","46,467","27,071,599 ",Africa,418,"28,830",22
101,101,Singapore,"60,880",+15,30 ,,"60,576",+36,274,1,"10,341",5,"9,278,789","1,576,096","5,887,197 ",Asia,97,"196,240",1
102,102,Afghanistan,"58,346",+132,"2,561 ",+4,"52,301",+29,"3,484","1,124","1,472",65,"388,757","9,811","39,626,561 ",Asia,679,"15,473",102
103,103,Cyprus,"58,022",,295 ,,"39,061",,"18,666",68,"47,778",243,"4,455,645","3,669,006","1,214,401 ",Asia,21,"4,117",0
104,104,Namibia,"46,954",+79,609 ,+1,"45,039",+86,"1,306",33,"18,216",236,"374,942","145,461","2,577,618 ",Africa,55,"4,233",7
105,105,Thailand,"46,643","+1,458",110 ,+2,"29,371",+413,"17,162",1,667,2,"8,124,896","116,169","69,940,535 ",Asia,"1,499","635,823",9
106,106,Ivory Coast,"45,614",,275 ,,"45,199",,140,,"1,696",10,"573,182","21,309","26,898,002 ",Africa,590,"97,811",47
107,107,Botswana,"44,702",,684 ,,"39,733",,"4,285",1,"18,708",286,"976,728","408,762","2,389,478 ",Africa,53,"3,493",2
108,108,Jamaica,"44,337",+83,744 ,+6,"20,070",+108,"23,523",29,"14,921",250,"318,544","107,199","2,971,533 ",North America,67,"3,994",9
109,109,Uganda,"41,422",,341 ,,"40,898",,183,24,883,7,"991,038","21,137","46,887,088 ",Africa,"1,132","137,499",47
110,110,Senegal,"39,910",+74,"1,096 ",+1,"38,668",+68,146,11,"2,335",64,"467,877","27,370","17,094,772 ",Africa,428,"15,597",37
111,111,Zimbabwe,"37,875",,"1,554 ",,"35,058",,"1,263",12,"2,519",103,"402,475","26,768","15,035,793 ",Africa,397,"9,676",37
112,112,Malawi,"33,968",,"1,142 ",,"31,810",,"1,016",15,"1,740",58,"227,956","11,676","19,523,091 ",Africa,575,"17,096",86
113,113,Madagascar,"33,592",+390,569 ,+6,"26,610",+319,"6,413",348,"1,189",20,"170,976","6,051","28,257,209 ",Africa,841,"49,661",165
114,114,Sudan,"32,546",,"2,287 ",,"26,248",,"4,011",,729,51,"232,965","5,216","44,664,346 ",Africa,"1,372","19,530",192
115,115,Malta,"30,063",+24,411 ,,"29,130",+65,522,,"67,941",929,"851,157","1,923,575","442,487 ",Europe,15,"1,077",1
116,116,Australia,"29,574",+15,910 ,,"26,454",,"2,210",,"1,149",35,"16,443,963","638,934","25,736,547 ",Australia/Oceania,870,"28,282",2
117,117,DRC,"29,084",,748 ,,"26,108",,"2,228",,317,8,"145,261","1,584","91,722,743 ",Africa,"3,154","122,624",631
118,118,Maldives,"26,667",,71 ,,"23,803",,"2,793",68,"48,650",130,"692,619","1,263,578","548,141 ",Asia,21,"7,720",1
119,119,Mongolia,"25,364","+1,169",56 ,+5,"13,346",+486,"11,962",88,"7,639",17,"2,591,926","780,596","3,320,445 ",Asia,131,"59,294",1
120,120,Angola,"24,661",,565 ,,"22,647",,"1,449",23,732,17,"447,761","13,296","33,677,562 ",Africa,"1,366","59,606",75
121,121,Rwanda,"24,005",,327 ,,"22,560",,"1,118",6,"1,818",25,"1,264,616","95,749","13,207,678 ",Africa,550,"40,390",10
122,122,Gabon,"22,032",,136 ,,"18,706",,"3,190",34,"9,716",60,"693,064","305,646","2,267,541 ",Africa,103,"16,673",3
123,123,Guinea,"21,633",,139 ,,"18,991",,"2,503",24,"1,612",10,"421,175","31,394","13,415,948 ",Africa,620,"96,518",32
124,124,Syria,"21,433",,"1,468 ",,"15,088",,"4,877",,"1,201",82,"103,566","5,806","17,838,986 ",Asia,832,"12,152",172
125,125,Cabo Verde,"20,781",,194 ,,"18,350",,"2,237",23,"37,055",346,"142,081","253,346","560,819 ",Africa,27,"2,891",4
126,126,Mayotte,"19,849",,169 ,,"2,964",,"16,716",7,"71,385",608,"165,683","595,866","278,054 ",Africa,14,"1,645",2
127,127,Réunion,"19,343",,141 ,,"17,653",,"1,549",36,"21,482",157,"100,098","111,167","900,431 ",Africa,47,"6,386",9
128,128,French Polynesia,"18,720",,141 ,,"4,842",,"13,737",4,"66,334",500,"26,355","93,388","282,210 ",Australia/Oceania,15,"2,001",11
129,129,Eswatini,"18,417",,671 ,,"17,718",,28,3,"15,744",574,"178,676","152,744","1,169,777 ",Africa,64,"1,743",7
130,130,French Guiana,"18,261",,96 ,,"9,995",,"8,170",13,"59,904",315,"203,343","667,050","304,839 ",South America,17,"3,175",1
131,131,Mauritania,"18,156",,454 ,,"17,519",,183,14,"3,825",96,"223,135","47,007","4,746,840 ",Africa,261,"10,456",21
132,132,Somalia,"13,324",,678 ,,"5,518",,"7,128",,820,42,"106,063","6,529","16,245,562 ",Africa,"1,219","23,961",153
133,134,Mali,"13,246",,444 ,,"7,613",,"5,189",,639,21,"247,184","11,933","20,714,145 ",Africa,"1,564","46,653",84
134,135,Burkina Faso,"13,167",,155 ,,"12,812",,200,,616,7,"177,733","8,321","21,358,829 ",Africa,"1,622","137,799",120
135,136,Haiti,"12,918",,251 ,,"11,791",,876,,"1,122",22,"60,085","5,219","11,513,691 ",North America,891,"45,871",192
136,137,Andorra,"12,917",+43,123 ,,"12,334",+49,460,25,"166,964","1,590","193,595","2,502,391","77,364 ",Europe,6,629,0
137,138,Guadeloupe,"12,717",,176 ,,"2,242",,"10,299",13,"31,778",440,"164,128","410,136","400,179 ",North America,31,"2,274",2
138,139,Togo,"12,610",,121 ,,"10,350",,"2,139",,"1,495",14,"301,831","35,791","8,433,191 ",Africa,669,"69,696",28
139,140,Belize,"12,568",,318 ,,"12,161",,89,1,"31,156",788,"111,668","276,826","403,387 ",North America,32,"1,269",4
140,141,Guyana,"11,972",,273 ,,"10,297",,"1,402",13,"15,162",346,"108,883","137,897","789,595 ",South America,66,"2,892",7
141,142,Curaçao,"11,934",,94 ,,"9,572",,"2,268",22,"72,489",571,"90,143","547,546","164,631 ",North America,14,"1,751",2
142,143,Hong Kong,"11,705",+1,209 ,,"11,302",+15,194,3,"1,551",28,"11,193,673","1,483,451","7,545,696 ",Asia,645,"36,104",1
143,144,Lesotho,"10,720",,316 ,,"5,868",,"4,536",,"4,973",147,"73,762","34,215","2,155,852 ",Africa,201,"6,822",29
144,145,Martinique,"10,611",,68 ,,98,,"10,445",24,"28,294",181,"149,454","398,511","375,031 ",North America,35,"5,515",3
145,146,Djibouti,"10,557",,123 ,,"9,607",,827,,"10,563",123,"144,891","144,967","999,479 ",Africa,95,"8,126",7
146,147,South Sudan,"10,486",+8,114 ,,"10,250",+35,122,,928,10,"144,957","12,830","11,298,696 ",Africa,"1,078","99,111",78
147,148,Aruba,"10,399",,94 ,,"9,932",,373,14,"97,069",877,"141,669","1,322,403","107,130 ",North America,10,"1,140",1
148,149,Papua New Guinea,"10,197",+245,91 ,,"7,364",,"2,742",,"1,123",10,"73,276","8,068","9,082,198 ",Australia/Oceania,891,"99,804",124
149,150,Congo,"10,084",,139 ,,"8,208",,"1,737",,"1,792",25,"92,500","16,441","5,626,162 ",Africa,558,"40,476",61
150,151,Bahamas,"9,800",,194 ,,"9,059",,547,4,"24,732",490,"82,713","208,738","396,252 ",North America,40,"2,043",5
151,152,Suriname,"9,687",,188 ,,"8,900",,599,19,"16,395",318,"47,668","80,678","590,841 ",South America,61,"3,143",12
152,153,Trinidad and Tobago,"9,135",,157 ,,"7,996",,982,8,"6,510",112,"122,901","87,591","1,403,124 ",North America,154,"8,937",11
153,154,Cambodia,"7,747",+303,54 ,+5,"2,794",+239,"4,899",,458,3,"811,284","47,994","16,903,887 ",Asia,"2,182","313,035",21
154,155,Benin,"7,720",,97 ,,"7,510",,113,35,624,8,"581,843","47,015","12,375,703 ",Africa,"1,603","127,585",21
155,156,Equatorial Guinea,"7,505",,106 ,,"7,016",,383,11,"5,213",74,"116,266","80,766","1,439,535 ",Africa,192,"13,581",12
156,157,Nicaragua,"6,835",,181 ,,"4,225",,"2,429",,"1,022",27,,,"6,687,591 ",North America,978,"36,948",
157,158,Iceland,"6,362",+12,29 ,,"6,213",+5,120,3,"18,547",85,"580,974","1,693,713","343,018 ",Europe,54,"11,828",1
158,159,CAR,"5,929",,79 ,,"5,112",,738,2,"1,211",16,"40,907","8,354","4,896,784 ",Africa,826,"61,985",120
159,160,Yemen,"5,918",,"1,138 ",,"2,281",,"2,499",23,195,37,"22,934",756,"30,349,225 ",Asia,"5,128","26,669","1,323"
160,161,Gambia,"5,784",,170 ,,"5,225",,389,3,"2,341",69,"61,900","25,055","2,470,613 ",Africa,427,"14,533",40
161,162,Niger,"5,140",,191 ,,"4,795",,154,23,206,8,"96,087","3,859","24,900,476 ",Africa,"4,844","130,369",259
